id;subject;body;jhi_from;timestamp
1;innovazione Belluno;Generic e-commerce Concrete;SMS Fantastic;2023-08-07T07:02:22
2;Belluno Analyst Auto;Brand deposit USB;e SMTP Car;2023-08-07T09:48:37
3;applicazioni alarm;hack;programming Soft Avon;2023-08-07T12:03:07
4;verticalizzate Product;THX;Soap;2023-08-07T06:16:29
5;invoice Generic Cambridgeshire;Cambogia ottimizzante;connecting esecutiva;2023-08-06T22:47:46
6;connecting array Shirt;grafica;Pizza Forward;2023-08-07T09:36:10
7;reinventate istruzioni;intuitivi Producer;Tasty;2023-08-07T02:38:18
8;wireless mondiali globale;Executive;Incrocio Home Borgo;2023-08-06T21:31:33
9;Chicken;comunità;Small;2023-08-07T11:58:45
10;Rubber;visionaria Piazza;RSS deposit Awesome;2023-08-06T23:27:07
